SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0500, 5, 0.0353, 0.9359, 0.3146, -3.1447, -5.4561, 2.2608, 57.6119, 37.9104, -9.6667, -109.6209, 2.1237, 79.8377, 0.4322, 0.6335, 0.5161, -0.3814, -0.0017, -0.0054, -0.0210, 1005.4000, 0.0000, 0.0000, 0.0000
1, 0.0601, 6, 0.0353, 0.9496, 0.3167, -3.0158, -4.6765, 2.4795, 57.4627, 39.1045, -9.8333, -109.6350, 2.1637, 79.8625, 0.4318, 0.6336, 0.5162, -0.3816, -0.0024, 0.0084, -0.0191, 1005.4100, 0.0000, 0.0000, 0.0000
1, 0.0701, 7, 0.0294, 0.9613, 0.3147, -3.2467, -2.4113, 2.9888, 53.4328, 39.8507, -9.6667, -109.6504, 2.1987, 79.8724, 0.4316, 0.6337, 0.5161, -0.3818, -0.0089, 0.0202, -0.0213, 1005.4100, 0.0000, 0.0000, 0.0000
2, 0.1499, 15, -0.9806, 0.3845, -0.1362, 24.1962, -6.1223, -0.4448, -37.3134, 39.5522, 17.8333, -71.9417, -70.9107, 80.2100, -0.7237, -0.0635, -0.6673, 0.1641, -0.0356, 0.0736, -0.0348, 1003.5400, 0.0000, 0.0000, 0.0000
2, 0.1599, 16, -0.9748, 0.4002, -0.1378, 22.7315, -4.0566, 1.4970, -39.1045, 39.4030, 17.6667, -71.8331, -70.8907, 80.3518, -0.7236, -0.0621, -0.6672, 0.1657, -0.0299, 0.0892, -0.0357, 1003.5400, 0.0000, 0.0000, 0.0000
1, 0.0801, 8, 0.0235, 0.9807, 0.3230, -2.6940, -0.1997, 2.3780, 54.4776, 39.5522, -9.3333, -109.6484, 2.2101, 79.8538, 0.4316, 0.6338, 0.5160, -0.3818, -0.0150, 0.0396, -0.0130, 1005.4100, 0.0000, 0.0000, 0.0000
1, 0.0901, 9, 0.0196, 0.9866, 0.3189, -3.2824, -0.8285, 1.0303, 56.4179, 37.3134, -9.5000, -109.6404, 2.1996, 79.8312, 0.4317, 0.6339, 0.5159, -0.3817, -0.0188, 0.0455, -0.0169, 1005.4100, 0.0000, 0.0000, 0.0000
2, 0.1699, 17, -0.9529, 0.3865, -0.1375, 22.0568, -2.2037, 2.5598, -41.0448, 40.0000, 17.6667, -71.6951, -70.8463, 80.4543, -0.7235, -0.0609, -0.6669, 0.1674, -0.0082, 0.0750, -0.0344, 1003.5400, 0.0000, 0.0000, 0.0000
2, 0.1799, 18, -0.9469, 0.3886, -0.1432, 21.4554, -1.8520, 4.5669, -39.5522, 40.7463, 17.6667, -71.5556, -70.7762, 80.5488, -0.7235, -0.0599, -0.6666, 0.1692, -0.0027, 0.0762, -0.0391, 1003.5400, 0.0000, 0.0000, 0.0000
1, 0.0999, 10, 0.0019, 0.9844, 0.3369, -3.6134, -0.1118, 0.1885, 56.1194, 38.3582, -9.1667, -109.6378, 2.1585, 79.8240, 0.4320, 0.6338, 0.5160, -0.3814, -0.0358, 0.0433, 0.0011, 1005.4100, 0.0000, 0.0000, 0.0000
1, 0.1099, 11, -0.0079, 0.9845, 0.3287, -3.6546, 0.3290, -1.2162, 54.9254, 40.2985, -9.6667, -109.6301, 2.0936, 79.8131, 0.4324, 0.6336, 0.5162, -0.3811, -0.0444, 0.0432, -0.0070, 1005.4100, 0.0000, 0.0000, 0.0000
2, 0.1899, 19, -0.9489, 0.3905, -0.1413, 21.2911, -2.7854, 6.6315, -37.9104, 40.4478, 17.5000, -71.4309, -70.6934, 80.6576, -0.7234, -0.0590, -0.6662, 0.1711, -0.0052, 0.0771, -0.0360, 1003.5400, 0.0000, 0.0000, 0.0000
2, 0.2000, 20, -0.9588, 0.3865, -0.1336, 22.3734, -1.6498, 8.0308, -40.0000, 40.2985, 17.1667, -71.3145, -70.5966, 80.7761, -0.7234, -0.0582, -0.6659, 0.1731, -0.0156, 0.0718, -0.0272, 1003.5400, 0.0000, 0.0000, 0.0000
2, 0.2100, 21, -0.9529, 0.3885, -0.1374, 23.0876, -0.6595, 10.5278, -40.7463, 42.3881, 17.1667, -71.1921, -70.4821, 80.9016, -0.7233, -0.0573, -0.6655, 0.1753, -0.0103, 0.0722, -0.0297, 1003.5400, 0.0000, 0.0000, 0.0000
2, 0.2200, 22, -0.9547, 0.3689, -0.1417, 23.7993, -0.0272, 13.4349, -38.8060, 40.8955, 16.6667, -71.0773, -70.3468, 81.0317, -0.7232, -0.0567, -0.6650, 0.1776, -0.0129, 0.0508, -0.0327, 1003.5400, 0.0000, 0.0000, 0.0000
2, 0.2300, 23, -0.9526, 0.3591, -0.1379, 23.3114, 1.1063, 16.3729, -37.3134, 39.8507, 16.6667, -70.9442, -70.1799, 81.1413, -0.7232, -0.0562, -0.6644, 0.1800, -0.0118, 0.0386, -0.0272, 1003.5700, 0.0000, 0.0000, 0.0000
2, 0.2400, 24, -0.9506, 0.3532, -0.1339, 18.7732, 1.9634, 18.5043, -37.6119, 40.8955, 16.6667, -70.8511, -69.9981, 81.2513, -0.7231, -0.0561, -0.6639, 0.1823, -0.0109, 0.0301, -0.0217, 1003.5700, 0.0000, 0.0000, 0.0000
2, 0.2500, 25, -0.9386, 0.3454, -0.1377, 14.1135, 2.5378, 19.7863, -37.0149, 40.1493, 16.8333, -70.7852, -69.7977, 81.3485, -0.7231, -0.0563, -0.6633, 0.1845, -0.0001, 0.0193, -0.0241, 1003.5700, 0.0000, 0.0000, 0.0000
1, 0.1199, 12, -0.0079, 0.9787, 0.3266, -2.9372, -1.5037, -1.9995, 53.7313, 40.1493, -9.3333, -109.6326, 2.0186, 79.8285, 0.4326, 0.6333, 0.5166, -0.3807, -0.0431, 0.0374, -0.0092, 1005.4100, 0.0000, 0.0000, 0.0000
1, 0.1299, 13, -0.0098, 0.9708, 0.3265, -2.3832, -2.6381, -1.7929, 57.4627, 38.2090, -10.0000, -109.6357, 1.9469, 79.8594, 0.4329, 0.6329, 0.5170, -0.3804, -0.0438, 0.0295, -0.0093, 1005.4100, 0.0000, 0.0000, 0.0000
1, 0.1399, 14, -0.0137, 0.9669, 0.3264, -3.2492, -4.5513, -2.7310, 55.8209, 39.5522, -9.1667, -109.6434, 1.8820, 79.9078, 0.4330, 0.6326, 0.5176, -0.3802, -0.0466, 0.0256, -0.0096, 1005.4100, 0.0000, 0.0000, 0.0000
1, 0.1499, 15, -0.0196, 0.9533, 0.3221, -3.6519, -7.2544, -2.5453, 57.4627, 38.5075, -9.5000, -109.6641, 1.8425, 79.9780, 0.4328, 0.6322, 0.5182, -0.3802, -0.0518, 0.0121, -0.0142, 1005.4100, 0.0000, 0.0000, 0.0000
1, 0.1599, 16, -0.0079, 0.9532, 0.3385, -4.5992, -9.3879, -2.8523, 57.1642, 40.1493, -9.1667, -109.6953, 1.8244, 80.0715, 0.4324, 0.6318, 0.5189, -0.3803, -0.0398, 0.0121, 0.0016, 1005.4100, 0.0000, 0.0000, 0.0000
1, 0.1699, 17, 0.0019, 0.9415, 0.3324, -3.8899, -12.4353, -2.9416, 54.6269, 38.2090, -9.1667, -109.7345, 1.8213, 80.1968, 0.4318, 0.6314, 0.5197, -0.3806, -0.0299, 0.0007, -0.0051, 1005.4100, 0.0000, 0.0000, 0.0000
1, 0.1799, 18, 0.0195, 0.9317, 0.3406, -3.9524, -14.0702, -2.8147, 56.2687, 38.6567, -9.3333, -109.7696, 1.8300, 80.3359, 0.4311, 0.6309, 0.5205, -0.3810, -0.0124, -0.0088, 0.0026, 1005.4100, 0.0000, 0.0000, 0.0000
2, 0.2600, 26, -0.9505, 0.3513, -0.1379, 10.2184, 2.6808, 21.7882, -39.1045, 41.0448, 16.5000, -70.7614, -69.5829, 81.4439, -0.7230, -0.0569, -0.6628, 0.1864, -0.0134, 0.0219, -0.0230, 1003.5700, 0.0000, 0.0000, 0.0000
2, 0.2698, 27, -0.9466, 0.3512, -0.1339, 7.5839, 3.6080, 23.3041, -35.3731, 40.1493, 16.3333, -70.7727, -69.3502, 81.5413, -0.7229, -0.0578, -0.6623, 0.1883, -0.0108, 0.0183, -0.0177, 1003.5700, 0.0000, 0.0000, 0.0000
1, 0.1899, 19, 0.0313, 0.9376, 0.3429, -3.3504, -13.9331, -1.9637, 54.0299, 39.1045, -9.3333, -109.8077, 1.8522, 80.4814, 0.4303, 0.6305, 0.5214, -0.3815, -0.0010, -0.0027, 0.0042, 1005.4100, 0.0000, 0.0000, 0.0000
1, 0.2000, 20, 0.0273, 0.9472, 0.3632, -2.1186, -12.2205, -1.9393, 54.6269, 39.1045, -9.3333, -109.8386, 1.8781, 80.6183, 0.4295, 0.6300, 0.5221, -0.3820, -0.0055, 0.0070, 0.0240, 1005.4100, 0.0000, 0.0000, 0.0000
